Condition,Visual,Audio,CompletionTime_s,CompletionTime_s,CompletionTime_s,CompletionTime_s,CompletionTime_s,Mismatches,Mismatches,Mismatches,Mismatches,Mismatches,Rechecks,Rechecks,Rechecks,Rechecks,Rechecks,CardFlips,CardFlips,CardFlips,CardFlips,CardFlips,AvgThinkingTime_s,AvgThinkingTime_s,AvgThinkingTime_s,AvgThinkingTime_s,AvgThinkingTime_s,MentalDemand,MentalDemand,MentalDemand,MentalDemand,MentalDemand,PhysicalDemand,PhysicalDemand,PhysicalDemand,PhysicalDemand,PhysicalDemand,TemporalDemand,TemporalDemand,TemporalDemand,TemporalDemand,TemporalDemand,PerformanceSatisfaction,PerformanceSatisfaction,PerformanceSatisfaction,PerformanceSatisfaction,PerformanceSatisfaction,Effort,Effort,Effort,Effort,Effort,Frustration,Frustration,Frustration,Frustration,Frustration,Workload_mean_without_Q4,Workload_mean_without_Q4,Workload_mean_without_Q4,Workload_mean_without_Q4,Workload_mean_without_Q4
,,,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max
C1_VisualOff_AudioOff,Off,Off,55.4675,12.717710654269279,52.21,37.98,75.65,9.25,3.24037034920393,9.0,5,14,18.5,6.48074069840786,18.0,10,28,34.5,6.48074069840786,34.0,26,44,1.4394662374646405,0.2025458829922548,1.3565256008359459,1.236756756756757,1.7575999999999998,39.875,23.129680993414997,32.5,15,75,10.0,6.6332495807108,10.0,0,20,29.625,29.707803207719202,20.0,0,70,75.875,21.826834728968702,82.5,30,95,31.75,18.71401308416465,30.0,6,56,32.5,26.441309671475373,25.0,0,73,28.75,14.187217586868217,27.3,6.4,52.0
C2_VisualPredictable_AudioOff,Predictable,Off,54.32625,15.723352911695214,52.49,34.29,82.26,10.25,4.200340122282616,9.0,6,17,20.5,8.400680244565232,18.0,12,34,36.5,8.400680244565232,34.0,28,50,4.121157396094403,0.7456524045256756,3.849275,3.352666666666667,5.566111111111112,43.0,20.354009783964297,42.0,19,75,12.375,7.781617532915083,12.5,0,23,28.125,30.451073168984653,14.5,0,74,75.0,22.51983252919207,77.0,40,100,35.5,16.77583295781677,35.0,18,67,46.75,29.90341595393887,42.0,5,91,33.15,10.292160678330445,28.5,21.2,50.4
C3_VisualUnpredictable_AudioOff,Unpredictable,Off,48.49375,9.559606891947565,50.005,37.1,59.93,10.375,3.814914340921881,10.0,6,16,20.75,7.629828681843762,20.0,12,32,36.75,7.629828681843761,36.0,28,48,3.184570008116883,0.6505265198252975,3.197047619047619,2.441363636363636,4.29925,44.25,23.137786040525633,34.0,20,77,22.625,16.422436742804905,19.5,5,56,33.75,25.44321408268112,22.5,2,66,55.75,23.273221890036133,50.0,30,95,37.875,17.900019952103804,35.0,14,72,48.25,27.773317102160174,53.0,10,95,37.35,12.666152871785046,30.4,28.2,58.4
C4_VisualOff_AudioPredictable,Off,Predictable,46.43625,7.37554441089896,45.635,34.41,58.1,11.25,4.166190448976481,10.5,6,17,22.5,8.332380897952962,21.0,12,34,38.5,8.332380897952964,37.0,28,50,2.6731456484348124,0.28570787506692596,2.6937499999999996,2.1688,3.0976470588235294,55.125,20.704985596986745,58.5,10,75,22.875,11.153955096095478,21.0,10,43,48.75,31.65776817329809,67.0,2,77,59.375,19.286838591566603,61.0,35,97,47.25,17.449928366615147,48.5,10,65,49.625,22.708950406644263,49.5,10,92,44.725,10.903177780550298,48.0,24.8,56.2
C5_VisualPredictable_AudioPredictable,Predictable,Predictable,42.24875,6.981414996771277,41.004999999999995,32.05,53.77,9.625,4.0686080455816125,8.5,5,18,19.25,8.137216091163225,17.0,10,36,35.25,8.137216091163225,33.0,26,52,2.742740611869748,0.671837526159277,2.5824019607843134,2.0380952380952384,4.1692307692307695,49.375,24.715163072783593,53.5,10,85,20.5,9.636241116594315,20.0,10,41,42.625,28.650292942905235,49.5,2,71,59.875,23.88925341176297,60.0,22,97,47.625,22.08384994903354,47.5,10,85,59.25,17.458113136467936,58.0,39,90,43.875,11.3378947403324,47.1,24.4,54.8
C6_VisualUnpredictable_AudioPredictable,Unpredictable,Predictable,46.815,12.918662027138438,45.68,31.79,69.43,11.125,5.841660722773962,11.5,4,21,22.25,11.683321445547923,23.0,8,42,38.25,11.683321445547923,39.0,24,58,2.5188730300496607,0.40765535345057113,2.5596640316205534,1.8,2.953181818181818,53.25,25.761266605950436,58.0,11,84,25.375,12.546342665721923,23.0,10,40,52.5,34.879384005045566,68.5,3,93,58.0,20.67434573157205,53.5,30,89,58.375,21.56013185753477,61.0,19,92,59.75,19.403607911932255,58.0,35,90,49.85,14.58286665919976,51.900000000000006,26.6,68.6
C7_VisualOff_AudioUnpredictable,Off,Unpredictable,41.59625,8.402417913060164,39.905,30.98,50.99,10.0,4.0708019567928595,9.0,5,17,20.0,8.141603913585719,18.0,10,34,36.0,8.141603913585715,34.0,26,50,2.4827504521520147,0.3457022513175351,2.564314903846154,1.7973809523809523,2.951428571428571,52.625,29.664492964774283,50.5,10,96,30.25,21.069612512539745,20.5,10,67,40.25,27.405682413897825,45.5,1,81,67.375,20.077973005261267,68.0,39,96,50.25,26.740819519443086,44.5,15,95,59.5,25.85122268454075,62.5,31,96,46.575,17.32032249782236,43.599999999999994,25.6,67.0
C8_VisualPredictable_AudioUnpredictable,Predictable,Unpredictable,39.60625,8.252661800032415,37.85,29.03,57.18,8.25,3.011881234615431,8.5,4,12,16.5,6.023762469230862,17.0,8,24,32.5,6.023762469230862,33.0,24,40,2.821290685087294,0.4542058122387928,2.8152349624060142,2.19475,3.742692307692308,54.375,30.705688165456994,58.0,10,98,31.125,22.94986772448653,22.5,10,70,47.875,31.420818849018833,57.5,0,87,64.125,20.28678317103457,67.5,35,97,53.75,30.05590030022629,47.5,10,95,61.125,21.81374075472352,64.5,30,97,49.65,18.49872582484689,46.5,25.4,75.2
C9_VisualUnpredictable_AudioUnpredictable,Unpredictable,Unpredictable,42.25375,7.230674612865857,40.485,35.77,59.3,10.125,3.4408263127170073,9.5,6,16,20.25,6.881652625434015,19.0,12,32,36.25,6.881652625434012,35.0,28,48,2.4947652710904937,0.4885241431758314,2.5321524064171124,1.6914583333333333,3.151666666666667,56.375,31.84308626463746,59.5,10,96,31.375,26.532661812512195,20.0,10,85,52.375,34.17993354503278,67.0,0,84,53.25,25.744624959119413,51.0,19,97,57.875,27.41968792153342,59.5,10,96,64.875,19.902889237495145,62.0,41,97,52.575,18.0226643028002,56.599999999999994,25.4,71.2
