Participant,Round,Condition,CompletionTime_s,CompletionTime_from_timestamps_s,Matches,Mismatches,Rechecks,CardFlips,AvgThinkingTime_s,MedianThinkingTime_s,MaxThinkingTime_s,DistractorOnEvents,DistractorOffEvents,MentalDemand,PhysicalDemand,TemporalDemand,PerformanceSatisfaction,Effort,Frustration,ConditionNumber,Visual,Audio,Workload_mean_without_Q4,NASA_TLX_simple_mean_all_Qs
P01,1,C1_VisualOff_AudioOff,46.32,46.322,8,7,14,30,1.3451724137931036,1.34,2.48,1,5,20,5,0,80,50,53,1,Off,Off,25.6,34.666666666666664
P01,2,C2_VisualPredictable_AudioOff,65.5,65.506,8,10,20,36,5.566111111111112,1.19,141.75,2,2,40,5,3,40,50,43,2,Predictable,Off,28.2,30.166666666666668
P01,3,C3_VisualUnpredictable_AudioOff,37.1,37.102,8,6,12,28,3.261428571428571,1.2,56.86,2,4,24,5,13,50,50,56,3,Unpredictable,Off,29.6,33.0
P01,4,C4_VisualOff_AudioPredictable,47.11,47.113,8,11,22,38,2.8244736842105254,1.1949999999999998,65.38,3,3,57,10,22,43,50,49,4,Off,Predictable,37.6,38.5
P01,5,C5_VisualPredictable_AudioPredictable,32.05,32.054,8,5,10,26,4.1692307692307695,1.085,80.6,4,2,25,10,22,22,50,51,5,Predictable,Predictable,31.6,30.0
P01,6,C6_VisualUnpredictable_AudioPredictable,31.79,31.786,8,5,10,26,2.8423076923076924,1.145,44.63,3,4,20,11,23,52,50,52,6,Unpredictable,Predictable,31.2,34.666666666666664
P01,7,C7_VisualOff_AudioUnpredictable,50.99,50.993,8,13,26,42,2.5690476190476192,1.14,61.78,3,5,27,21,22,40,30,35,7,Off,Unpredictable,27.0,29.166666666666668
P01,8,C8_VisualPredictable_AudioUnpredictable,29.03,29.033,8,5,10,26,3.742692307692308,1.0750000000000002,70.51,4,4,20,11,30,55,50,55,8,Predictable,Unpredictable,33.2,36.833333333333336
P01,9,C9_VisualUnpredictable_AudioUnpredictable,39.07,39.068,8,9,18,34,2.5929411764705885,1.105,51.16,2,12,15,11,30,52,50,51,9,Unpredictable,Unpredictable,31.4,34.833333333333336
P02,1,C1_VisualOff_AudioOff,75.65,75.647,8,13,26,42,1.5209756097560976,1.48,2.49,1,5,55,20,70,30,56,59,1,Off,Off,52.0,48.333333333333336
P02,2,C2_VisualPredictable_AudioOff,47.46,47.456,8,8,16,32,3.84875,1.42,78.53,2,2,52,23,55,47,38,44,2,Predictable,Off,42.4,43.166666666666664
P02,3,C3_VisualUnpredictable_AudioOff,54.89,54.886,8,13,26,42,2.5004761904761907,1.21,52.57,2,4,61,56,61,41,42,63,3,Unpredictable,Off,56.6,54.0
P02,4,C4_VisualOff_AudioPredictable,43.04,43.045,8,10,20,36,2.491944444444444,1.185,49.03,3,3,56,43,65,35,46,61,4,Off,Predictable,54.2,51.0
P02,5,C5_VisualPredictable_AudioPredictable,38.96,38.963,8,8,16,32,2.2028125,1.225,34.01,4,2,57,41,69,40,45,61,5,Predictable,Predictable,54.6,52.166666666666664
P02,6,C6_VisualUnpredictable_AudioPredictable,42.9,42.902,8,9,18,34,2.16,1.2149999999999999,32.65,3,4,58,39,73,37,62,64,6,Unpredictable,Predictable,59.2,55.5
P02,7,C7_VisualOff_AudioUnpredictable,50.73,50.734,8,13,26,42,1.7973809523809523,1.1749999999999998,27.15,3,5,62,67,81,39,57,64,7,Off,Unpredictable,66.2,61.666666666666664
P02,8,C8_VisualPredictable_AudioUnpredictable,57.18,57.18,8,12,24,40,2.19475,1.32,32.85,4,4,58,63,73,35,69,69,8,Predictable,Unpredictable,66.4,61.166666666666664
P02,9,C9_VisualUnpredictable_AudioUnpredictable,59.3,59.296,8,16,32,48,1.6914583333333333,1.25,23.95,2,12,59,59,84,19,62,65,9,Unpredictable,Unpredictable,65.8,58.0
P03,1,C1_VisualOff_AudioOff,53.85,53.849,8,9,18,34,1.367878787878788,1.32,3.1,1,5,30,13,15,61,20,20,1,Off,Off,19.6,26.5
P03,2,C2_VisualPredictable_AudioOff,41.28,41.283,8,7,14,30,4.044999999999999,1.295,82.52,2,2,29,15,19,71,19,24,2,Predictable,Off,21.2,29.5
P03,3,C3_VisualUnpredictable_AudioOff,37.63,37.631,8,7,14,30,2.7136666666666667,1.32,46.05,2,4,36,20,20,35,35,35,3,Unpredictable,Off,29.2,30.166666666666668
P03,4,C4_VisualOff_AudioPredictable,34.41,34.408,8,6,12,28,2.638928571428571,1.2349999999999999,41.51,3,3,44,18,70,69,39,50,4,Off,Predictable,44.2,48.333333333333336
