Metric,Effect,F Value,Num DF,Den DF,Pr > F
CompletionTime_s,Visual,0.9692845809963251,2.0,14.0,0.40341396730946183
CompletionTime_s,Audio,5.348401110809471,2.0,14.0,0.01881096966525506
CompletionTime_s,Visual:Audio,0.8933790992801798,4.0,28.0,0.48092009168332717
Mismatches,Visual,1.4064241232382875,2.0,14.0,0.2775921614661771
Mismatches,Audio,0.6403848915697272,2.0,14.0,0.5418506769282101
Mismatches,Visual:Audio,0.7592422853651122,4.0,28.0,0.5605732105745159
Rechecks,Visual,1.4064241232382875,2.0,14.0,0.2775921614661771
Rechecks,Audio,0.6403848915697272,2.0,14.0,0.5418506769282101
Rechecks,Visual:Audio,0.7592422853651122,4.0,28.0,0.5605732105745159
CardFlips,Visual,1.406424123238284,2.0,14.0,0.2775921614661779
CardFlips,Audio,0.640384891569725,2.0,14.0,0.5418506769282114
CardFlips,Visual:Audio,0.7592422853651111,4.0,28.0,0.5605732105745165
AvgThinkingTime_s,Visual,18.02831235315724,2.0,14.0,0.0001338644678169242
AvgThinkingTime_s,Audio,5.9010370344217415,2.0,14.0,0.01384566841028731
AvgThinkingTime_s,Visual:Audio,75.45917756764786,4.0,28.0,1.3940182683502151e-14
Workload_mean_without_Q4,Visual,8.987046185128056,2.0,14.0,0.0030853800915186013
Workload_mean_without_Q4,Audio,6.087375901270502,2.0,14.0,0.012523284417581984
Workload_mean_without_Q4,Visual:Audio,0.48827252275044253,4.0,28.0,0.7442432673696207
