Round,CompletionTime_s,CompletionTime_s,CompletionTime_s,Mismatches,Mismatches,Mismatches,CardFlips,CardFlips,CardFlips,Workload_mean_without_Q4,Workload_mean_without_Q4,Workload_mean_without_Q4
,mean,std,median,mean,std,median,mean,std,median,mean,std,median
1,55.4675,12.717710654269279,52.21,9.25,3.24037034920393,9.0,34.5,6.48074069840786,34.0,28.75,14.187217586868217,27.3
2,54.32625,15.723352911695214,52.49,10.25,4.200340122282616,9.0,36.5,8.400680244565232,34.0,33.15,10.292160678330445,28.5
3,48.49375,9.559606891947565,50.005,10.375,3.814914340921881,10.0,36.75,7.629828681843761,36.0,37.35,12.666152871785046,30.4
4,46.43625,7.37554441089896,45.635,11.25,4.166190448976481,10.5,38.5,8.332380897952964,37.0,44.725,10.903177780550298,48.0
5,42.24875,6.981414996771277,41.004999999999995,9.625,4.0686080455816125,8.5,35.25,8.137216091163225,33.0,43.875,11.3378947403324,47.1
6,46.815,12.918662027138438,45.68,11.125,5.841660722773962,11.5,38.25,11.683321445547923,39.0,49.85,14.58286665919976,51.900000000000006
7,41.59625,8.402417913060164,39.905,10.0,4.0708019567928595,9.0,36.0,8.141603913585715,34.0,46.575,17.32032249782236,43.599999999999994
8,39.60625,8.252661800032415,37.85,8.25,3.011881234615431,8.5,32.5,6.023762469230862,33.0,49.65,18.49872582484689,46.5
9,42.25375,7.230674612865857,40.485,10.125,3.4408263127170073,9.5,36.25,6.881652625434012,35.0,52.575,18.0226643028002,56.599999999999994
