participant,round_index,condition,condition_group,round_start,round_end,duration_sec,has_round_start,has_round_end,round_complete,card_flips,matches,mismatches,rechecks,thinking_time_events,questionnaire_answers,mean_thinking_time
P01,1,C1_No_Distraction,No distraction,2026-05-27 11:43:12.119,2026-05-27 11:43:58.441,46.322,True,True,True,30,8,7,14,29,6,1.3451724137931036
P01,2,C2_Visual_Predictable,Visual only,2026-05-27 11:46:13.300,2026-05-27 11:47:18.806,65.506,True,True,True,36,8,10,20,36,6,5.566111111111112
P01,3,C3_Visual_Unpredictable,Visual only,2026-05-27 11:48:13.006,2026-05-27 11:48:50.108,37.102,True,True,True,28,8,6,12,28,6,3.261428571428571
P01,4,C4_Audio_Predictable,Audio only,2026-05-27 11:49:50.346,2026-05-27 11:50:37.459,47.113,True,True,True,38,8,11,22,38,6,2.8244736842105254
P01,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,2026-05-27 11:51:53.780,2026-05-27 11:52:25.834,32.054,True,True,True,26,8,5,10,26,6,4.1692307692307695
P01,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,2026-05-27 11:53:07.924,2026-05-27 11:53:39.710,31.786,True,True,True,26,8,5,10,26,6,2.8423076923076924
P01,7,C7_Audio_Unpredictable,Audio only,2026-05-27 11:54:36.620,2026-05-27 11:55:27.613,50.993,True,True,True,42,8,13,26,42,6,2.5690476190476192
P01,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,2026-05-27 11:56:35.913,2026-05-27 11:57:04.946,29.033,True,True,True,26,8,5,10,26,6,3.742692307692308
P01,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,2026-05-27 11:57:54.043,2026-05-27 11:58:33.111,39.068,True,True,True,34,8,9,18,34,6,2.5929411764705885
P02,1,C1_No_Distraction,No distraction,2026-05-27 12:16:44.350,2026-05-27 12:18:00.028,75.678,True,True,True,42,8,13,26,41,6,1.5209756097560976
P02,2,C2_Visual_Predictable,Visual only,2026-05-27 12:19:15.717,2026-05-27 12:20:03.173,47.456,True,True,True,32,8,8,16,32,6,3.84875
P02,3,C3_Visual_Unpredictable,Visual only,2026-05-27 12:20:53.307,2026-05-27 12:21:48.193,54.886,True,True,True,42,8,13,26,42,6,2.5004761904761907
P02,4,C4_Audio_Predictable,Audio only,2026-05-27 12:22:34.882,2026-05-27 12:23:17.927,43.045,True,True,True,36,8,10,20,36,6,2.491944444444444
P02,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,2026-05-27 12:23:49.440,2026-05-27 12:24:28.403,38.963,True,True,True,32,8,8,16,32,6,2.2028125
P02,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,2026-05-27 12:24:58.926,2026-05-27 12:25:41.828,42.902,True,True,True,34,8,9,18,34,6,2.16
P02,7,C7_Audio_Unpredictable,Audio only,2026-05-27 12:26:06.582,2026-05-27 12:26:57.316,50.734,True,True,True,42,8,13,26,42,6,1.7973809523809523
P02,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,2026-05-27 12:27:27.930,2026-05-27 12:28:25.110,57.18,True,True,True,40,8,12,24,40,6,2.19475
P02,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,2026-05-27 12:28:47.007,2026-05-27 12:29:46.303,59.296,True,True,True,48,8,16,32,48,6,1.6914583333333333
P03,1,C1_No_Distraction,No distraction,2026-05-27 12:46:15.009,2026-05-27 12:47:08.885,53.876,True,True,True,34,8,9,18,33,6,1.367878787878788
P03,2,C2_Visual_Predictable,Visual only,2026-05-27 12:48:28.947,2026-05-27 12:49:10.230,41.283,True,True,True,30,8,7,14,30,6,4.044999999999999
