participant,xdf_file,round_index,condition,condition_group,predictability,start_xdf_time,end_xdf_time,duration_sec,marker_stream,eda_stream,hr_stream,eda_n_samples,eda_mean,eda_median,eda_sd,eda_min,eda_max,eda_range,eda_start,eda_end,eda_change,eda_slope,eda_baseline_n_samples,eda_local_baseline,delta_eda_local,hr_n_samples,hr_mean,hr_median,hr_sd,hr_min,hr_max,hr_range,hr_start,hr_end,hr_change,hr_slope,hr_baseline_n_samples,hr_local_baseline,delta_hr_local
P04,labrecorder_P04.xdf,1,C1_No_Distraction,No distraction,None,95832.7536924698,95892.4007861915,59.647093721694546,Triggers,EDA,HR,894.0,2.914676487579175,2.9409520626068115,0.22148005018308586,2.3727610111236572,3.457084894180298,1.0843238830566406,2.40578293800354,3.264475107192993,0.8586921691894531,0.012389600080702928,136.0,2.3769542662536396,0.5377222213255353,98.0,107.68367346938776,109.0,6.61082670060821,85.0,123.0,38.0,117.0,110.0,-7.0,0.13988073614003402,15.0,111.93333333333334,-4.249659863945581
P04,labrecorder_P04.xdf,2,C2_Visual_Predictable,Visual only,Predictable,96004.83236124387,96067.82534676115,62.99298551728134,Triggers,EDA,HR,944.0,4.487635969610538,4.45928955078125,0.2555292009091254,4.024518013000488,4.889737129211426,0.8652191162109375,4.192924976348877,4.838420867919922,0.6454958915710449,0.0137620674143042,225.0,3.9279145219590927,0.5597214476514449,100.0,106.18,107.0,7.637467452690656,78.0,128.0,50.0,128.0,101.0,-27.0,-0.16651830498933812,26.0,109.23076923076923,-3.0507692307692196
P04,labrecorder_P04.xdf,3,C3_Visual_Unpredictable,Visual only,Unpredictable,96164.95304893362,96224.43563245553,59.482583521908964,Triggers,EDA,HR,892.0,5.810801712921382,5.800396919250488,0.15231666201450855,5.422817230224609,6.134932041168213,0.7121148109436035,5.518002986907959,6.097041130065918,0.579038143157959,0.008390396573056381,225.0,5.469502020941841,0.34129969197954146,102.0,103.74509803921569,103.0,3.2630128655263038,95.0,111.0,16.0,105.0,98.0,-7.0,0.008848797644482497,21.0,96.95238095238095,6.792717086834742
P04,labrecorder_P04.xdf,4,C4_Audio_Predictable,Audio only,Predictable,96300.80057215525,96350.33521719021,49.534645034960704,Triggers,EDA,HR,742.0,6.9545929386930645,6.934813022613525,0.18996113134507106,6.425662040710449,7.498894214630127,1.0732321739196777,6.785089015960693,7.331861972808838,0.5467729568481445,0.01207592010547211,225.0,6.574501626756456,0.3800913119366083,85.0,106.49411764705883,104.0,10.292881878606536,95.0,154.0,59.0,105.0,112.0,7.0,0.27550333747356653,26.0,103.5,2.994117647058829
P04,labrecorder_P04.xdf,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Predictable,96425.86497169104,96479.63926592043,53.774294229384395,Triggers,EDA,HR,806.0,8.063120124357805,8.058147430419922,0.1359803705027612,7.733713150024414,8.42133617401123,0.6876230239868164,7.777198791503906,8.390669822692871,0.6134710311889648,0.008156806575125793,225.0,7.662291257646348,0.400828866711457,84.0,102.72619047619048,103.0,6.308057938163972,77.0,120.0,43.0,120.0,111.0,-9.0,-0.0697358001360381,26.0,107.07692307692308,-4.350732600732599
P04,labrecorder_P04.xdf,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Mixed,96555.60515102067,96604.06193215706,48.45678113638132,Triggers,EDA,HR,726.0,8.871463247567169,8.863990783691406,0.11546039164594277,8.51469612121582,9.121174812316895,0.6064786911010742,8.653214454650879,9.109210014343262,0.4559955596923828,0.007022608886540455,225.0,8.599491721259223,0.2719715263079454,81.0,105.29629629629629,106.0,4.2908170680082725,94.0,114.0,20.0,104.0,102.0,-2.0,-0.13447961165509156,25.0,102.16,3.136296296296294
P04,labrecorder_P04.xdf,7,C7_Audio_Unpredictable,Audio only,Unpredictable,96669.84740557068,96720.65480900396,50.80740343328216,Triggers,EDA,HR,761.0,9.520009740110138,9.510132789611816,0.0920368600162563,9.305268287658691,9.765243530273438,0.4599752426147461,9.4840669631958,9.751530647277832,0.26746368408203125,0.004543364314423835,225.0,9.412189093695746,0.10782064641439248,80.0,109.2625,107.0,8.865726568924666,96.0,143.0,47.0,105.0,111.0,6.0,-0.020376568710719876,25.0,102.8,6.462500000000006
P04,labrecorder_P04.xdf,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Mixed,96776.76730133028,96815.14381127991,38.37650994962314,Triggers,EDA,HR,576.0,9.925091104374992,9.948070526123047,0.08263989816377518,9.589290618896484,10.107953071594238,0.5186624526977539,9.683260917663574,10.09326171875,0.4100008010864258,0.005674799270972213,224.0,9.714996086699623,0.21009501767536953,66.0,106.5909090909091,107.0,2.660117248585817,101.0,113.0,12.0,108.0,110.0,2.0,-0.041264981838073284,26.0,106.23076923076923,0.3601398601398671
P04,labrecorder_P04.xdf,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Unpredictable,96881.53264919273,96923.88612463712,42.35347544439719,Triggers,EDA,HR,635.0,10.569559585391067,10.571606636047363,0.07507056380118945,10.349930763244629,10.735718727111816,0.3857879638671875,10.475591659545898,10.636713981628418,0.16112232208251953,0.0012968369583417811,225.0,10.493039843241373,0.07651974214969393,74.0,107.87837837837837,105.0,8.651474975524627,98.0,143.0,45.0,103.0,104.0,1.0,-0.24159724391845036,25.0,102.4,5.478378378378366
P05,labrecorder_P05.xdf,1,C1_No_Distraction,No distraction,None,97598.62393708466,97649.19136580004,50.56742871538154,Triggers,EDA,HR,757.0,3.935061315249263,3.9374420642852783,0.1416848830323934,3.660214900970459,4.27324914932251,0.6130342483520508,3.9085090160369873,3.660214900970459,-0.24829411506652832,-0.007921402033819473,224.0,4.0718924797007015,-0.1368311644514386,64.0,95.359375,94.5,11.26078627537538,59.0,124.0,65.0,99.0,91.0,-8.0,-0.4444087855364174,22.0,100.0,-4.640625
P05,labrecorder_P05.xdf,2,C2_Visual_Predictable,Visual only,Predictable,97715.48862845135,97749.77568572959,34.287057278241264,Triggers,EDA,HR,513.0,4.112870330234252,4.1057820320129395,0.05632116996277473,3.9396910667419434,4.257474899291992,0.31778383255004883,3.964524984359741,4.045716762542725,0.0811917781829834,-0.00012205042464024658,225.0,3.931353268093533,0.1815170621407196,49.0,96.48979591836735,94.0,12.441734955683753,78.0,134.0,56.0,129.0,97.0,-32.0,-0.8038694118356412,26.0,106.34615384615384,-9.85635792778649
P05,labrecorder_P05.xdf,3,C3_Visual_Unpredictable,Visual only,Unpredictable,97805.95154135778,97857.19537597471,51.24383461693651,Triggers,EDA,HR,767.0,3.819540232381112,3.8010671138763428,0.2001868748917251,3.493767023086548,4.218502044677734,0.7247350215911865,4.192924976348877,3.493767023086548,-0.6991579532623291,-0.013464615118373744,224.0,3.9896127602883746,-0.17007252790726257,82.0,110.5,101.0,29.05305916618042,85.0,255.0,170.0,97.0,106.0,9.0,1.1583421468008754,23.0,100.30434782608695,10.195652173913047
