round_index,mean_value,sd_value,n,sem_value,measure
1,0.13914586690573022,0.2611725296582258,5,0.11679990603427455,EDA
2,0.17057090217064513,0.22955118402183322,5,0.10265841035767652,EDA
3,0.054844483156922606,0.18304022504271858,5,0.08185807716247562,EDA
4,0.19138167802704364,0.17971611632005147,5,0.08037149054877889,EDA
5,0.12455197992935747,0.16556664009992206,5,0.07404365241393365,EDA
6,0.07315158371824833,0.11714568034309683,5,0.052389140903525075,EDA
7,0.07688942258729659,0.0842869705443652,5,0.0376942791509446,EDA
8,0.05497681706720296,0.1461098077588055,5,0.06534229246562305,EDA
9,0.06965783504084844,0.08085467708015452,5,0.03615931085000394,EDA
1,0.40752757891707175,7.291215403774242,5,3.2607306562865563,Heart rate
2,4.533788472032171,14.64807948575368,5,6.550820293993078,Heart rate
3,1.1832001679390316,11.629303913132102,5,5.200782816153538,Heart rate
4,1.3337314869337944,11.336944813262097,5,5.070035851923541,Heart rate
5,-2.2893139212864213,5.354243360383899,5,2.3944904243790606,Heart rate
6,-0.7012385053294394,5.5909996729348785,5,2.500371066172296,Heart rate
7,-5.419747096488789,15.728907659312952,5,7.034181347608173,Heart rate
8,3.2661444463689038,3.5424220744656463,5,1.5842193127002013,Heart rate
9,3.9391373720977696,8.349921399798689,5,3.734198371346013,Heart rate
1,-0.15737783273264416,0.23206775030602836,4,0.11603387515301418,Pupil diameter
2,-0.049749799286087804,0.1456674180700768,4,0.0728337090350384,Pupil diameter
3,-0.11593680717898713,0.08296369135856918,4,0.04148184567928459,Pupil diameter
4,0.053110703617591626,0.0879339115666809,4,0.04396695578334045,Pupil diameter
5,0.10936901320215153,0.055884859884925156,4,0.027942429942462578,Pupil diameter
6,0.0607746281453182,0.06476211239809879,4,0.03238105619904939,Pupil diameter
7,0.019310291110722244,0.15161141503798573,4,0.07580570751899286,Pupil diameter
8,-0.04194557663728027,0.10139554224653982,4,0.05069777112326991,Pupil diameter
9,0.08451734745977146,0.10728988936803667,4,0.053644944684018335,Pupil diameter
