n_rows,experiment_start,experiment_end,round_start,round_end,questionnaire_answer,has_expected_rounds,has_expected_questionnaire,has_experiment_end,score,first_time,last_time,session_candidate
870,1,0,8,7,42,False,False,False,192,2026-05-05 13:47:23.288,2026-05-05 13:56:17.296,0
22,1,0,1,0,0,False,False,False,10,2026-05-05 13:59:01.815,2026-05-05 13:59:15.567,1
8,1,0,1,0,0,False,False,False,10,2026-05-13 15:38:15.666,2026-05-13 15:38:51.123,2
5,1,0,1,0,0,False,False,False,10,2026-05-13 15:39:54.275,2026-05-13 15:40:27.204,3
1388,1,1,9,9,54,True,True,True,354,2026-05-21 14:13:00.188,2026-05-21 14:31:01.035,4
4,1,0,1,0,0,False,False,False,10,2026-05-21 15:13:01.986,2026-05-21 15:13:01.998,5
116,1,0,1,1,0,False,False,False,20,2026-05-21 15:18:09.644,2026-05-21 15:19:02.789,6
154,1,0,2,1,6,False,False,False,36,2026-05-21 15:19:50.023,2026-05-21 15:21:05.409,7
216,1,0,3,2,12,False,False,False,62,2026-05-21 15:22:41.314,2026-05-21 15:24:14.369,8
246,1,0,2,2,6,False,False,False,46,2026-05-21 18:33:19.624,2026-05-21 18:35:12.137,9
5,1,0,1,0,0,False,False,False,10,2026-05-27 10:58:56.043,2026-05-27 10:58:56.057,10
578,1,0,4,4,18,False,False,False,98,2026-05-27 10:58:56.058,2026-05-27 11:04:53.180,11
5,1,0,1,0,0,False,False,False,10,2026-05-27 11:12:30.176,2026-05-27 11:12:30.199,12
5,1,0,1,0,0,False,False,False,10,2026-05-27 11:12:30.207,2026-05-27 11:12:30.222,13
5,1,0,1,0,0,False,False,False,10,2026-05-27 11:17:26.708,2026-05-27 11:17:26.728,14
5,1,0,1,0,0,False,False,False,10,2026-05-27 11:17:26.736,2026-05-27 11:17:26.750,15
5,1,0,1,0,0,False,False,False,10,2026-05-27 11:18:46.993,2026-05-27 11:18:47.012,16
152,1,0,1,1,0,False,False,False,20,2026-05-27 11:18:47.028,2026-05-27 11:21:19.882,17
5,1,0,1,0,0,False,False,False,10,2026-05-27 11:43:12.070,2026-05-27 11:43:12.090,18
1013,1,1,9,9,54,True,True,True,354,2026-05-27 11:43:12.107,2026-05-27 11:59:29.574,19
