participant,round_index,condition,condition_group,question_raw,extra_1,extra_2,score,adjusted_score
P01,1,C1_No_Distraction,No distraction,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,20",20.0,20.0
P01,1,C1_No_Distraction,No distraction,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,5",5.0,5.0
P01,1,C1_No_Distraction,No distraction,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,0,0.0,0.0
P01,1,C1_No_Distraction,No distraction,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,80,80.0,20.0
P01,1,C1_No_Distraction,No distraction,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,50,50.0,50.0
P01,1,C1_No_Distraction,No distraction,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,53",53.0,53.0
P01,2,C2_Visual_Predictable,Visual only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,40",40.0,40.0
P01,2,C2_Visual_Predictable,Visual only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,5",5.0,5.0
P01,2,C2_Visual_Predictable,Visual only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,3,3.0,3.0
P01,2,C2_Visual_Predictable,Visual only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,40,40.0,60.0
P01,2,C2_Visual_Predictable,Visual only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,50,50.0,50.0
P01,2,C2_Visual_Predictable,Visual only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,43",43.0,43.0
P01,3,C3_Visual_Unpredictable,Visual only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,24",24.0,24.0
P01,3,C3_Visual_Unpredictable,Visual only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,5",5.0,5.0
P01,3,C3_Visual_Unpredictable,Visual only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,13,13.0,13.0
P01,3,C3_Visual_Unpredictable,Visual only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,50,50.0,50.0
P01,3,C3_Visual_Unpredictable,Visual only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,50,50.0,50.0
P01,3,C3_Visual_Unpredictable,Visual only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,56",56.0,56.0
P01,4,C4_Audio_Predictable,Audio only,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,57",57.0,57.0
P01,4,C4_Audio_Predictable,Audio only,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,10",10.0,10.0
P01,4,C4_Audio_Predictable,Audio only,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,22,22.0,22.0
P01,4,C4_Audio_Predictable,Audio only,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,43,43.0,57.0
P01,4,C4_Audio_Predictable,Audio only,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,50,50.0,50.0
P01,4,C4_Audio_Predictable,Audio only,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,49",49.0,49.0
P01,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,25",25.0,25.0
P01,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,10",10.0,10.0
P01,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q3,How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,22,22.0,22.0
P01,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your performance in accomplishing these goals?,22,22.0,78.0
P01,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,50,50.0,50.0
P01,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Q6,How insecure," discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task?,51",51.0,51.0
P01,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q1,How much mental and perceptual activity was required (e.g. thinking," deciding, calculating, remembering, looking, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving?,20",20.0,20.0
P01,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Q2,How much physical activity was required (e.g. pushing," pulling, turning, controlling, activating, etc)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?,11",11.0,11.0
