participant,xdf_file,stream_name,stream_type,n_samples,duration_sec
P01,lab_recorder_P01.xdf,SCR_RIS,SCRRiseTime,25,273.40045404815965
P01,lab_recorder_P01.xdf,MAG_Y,MagnetometerY,685,273.94876624656126
P01,lab_recorder_P01.xdf,GYRO_Z,GyroscopeZ,691,274.0040066956594
P01,lab_recorder_P01.xdf,SCR_AMP,SCRAmplitude,25,273.40045618420754
P01,lab_recorder_P01.xdf,ACC_X,AccelerometerX,714,273.93281053581813
P01,lab_recorder_P01.xdf,MAG_X,MagnetometerX,685,274.02393905877125
P01,lab_recorder_P01.xdf,PPG_IR,PPGInfrared,712,273.94059738858095
P01,lab_recorder_P01.xdf,GYRO_Y,GyroscopeY,700,273.9139387447872
P01,lab_recorder_P01.xdf,PPG_RED,PPGRed,712,273.940600542574
P01,lab_recorder_P01.xdf,EDA,EDA,432,273.9102813693298
P01,lab_recorder_P01.xdf,ACC_Z,AccelerometerZ,714,273.928477712373
P01,lab_recorder_P01.xdf,THERM,Thermopile,217,246.52632018537042
P01,lab_recorder_P01.xdf,PPG_GRN,PPGGreen,712,273.9406288269315
P01,lab_recorder_P01.xdf,HR,HeartRate,37,273.8670138084831
P01,lab_recorder_P01.xdf,ACC_Y,AccelerometerY,714,273.9327731899348
P01,lab_recorder_P01.xdf,DataSyncMarker,Markers,1018,977.5026303340424
P01,lab_recorder_P01.xdf,GYRO_X,GyroscopeX,708,273.92387845846406
P01,lab_recorder_P01.xdf,TEMP1,Temperature,216,246.5609193576356
P01,lab_recorder_P01.xdf,MAG_Z,MagnetometerZ,687,273.9478313786967
P01,lab_recorder_P01.xdf,SCR_FREQ,SCRFrequency,89,273.6669398582617
P02,lab_recorder_run2_P02.xdf,ACC_Y,AccelerometerY,1306,52.42007998751524
P02,lab_recorder_run2_P02.xdf,PPG_RED,PPGRed,1302,52.34648502721302
P02,lab_recorder_run2_P02.xdf,SCR_FREQ,SCRFrequency,157,52.28207925598872
P02,lab_recorder_run2_P02.xdf,MAG_Y,MagnetometerY,1306,52.41716102362898
P02,lab_recorder_run2_P02.xdf,MAG_Z,MagnetometerZ,1306,52.41663513011554
P02,lab_recorder_run2_P02.xdf,GYRO_X,GyroscopeX,1306,52.42122963871407
P02,lab_recorder_run2_P02.xdf,PPG_GRN,PPGGreen,1302,52.34635995603185
P02,lab_recorder_run2_P02.xdf,SCR_AMP,SCRAmplitude,38,51.681888730870014
P02,lab_recorder_run2_P02.xdf,PPG_IR,PPGInfrared,1302,52.346458596941375
P02,lab_recorder_run2_P02.xdf,EDA,EDA,786,52.28686438161458
P02,lab_recorder_run2_P02.xdf,THERM,Thermopile,393,52.22549401470587
P02,lab_recorder_run2_P02.xdf,ACC_Z,AccelerometerZ,1306,52.42090192135947
P02,lab_recorder_run2_P02.xdf,HR,HeartRate,69,51.719545536823716
P02,lab_recorder_run2_P02.xdf,GYRO_Y,GyroscopeY,1306,52.41983713130685
P02,lab_recorder_run2_P02.xdf,SCR_RIS,SCRRiseTime,38,51.68191047930668
P02,lab_recorder_run2_P02.xdf,TEMP1,Temperature,393,52.229400694270225
P02,lab_recorder_run2_P02.xdf,GYRO_Z,GyroscopeZ,1306,52.41851534910438
P02,lab_recorder_run2_P02.xdf,ACC_X,AccelerometerX,1306,52.420022809063994
P02,lab_recorder_run2_P02.xdf,MAG_X,MagnetometerX,1306,52.41740449487406
P02,lab_recorder_run2_P02.xdf,DataSyncMarker,Markers,1235,839.5404677328015
P02,lab_recorder_run1_P02.xdf,MAG_X,MagnetometerX,439,17.57577574066181
P02,lab_recorder_run1_P02.xdf,PPG_GRN,PPGGreen,437,17.530573755570003
P02,lab_recorder_run1_P02.xdf,GYRO_X,GyroscopeX,439,17.572358407271167
P02,lab_recorder_run1_P02.xdf,ACC_Y,AccelerometerY,439,17.572482076525375
P02,lab_recorder_run1_P02.xdf,GYRO_Z,GyroscopeZ,439,17.576591327908318
P02,lab_recorder_run1_P02.xdf,ACC_X,AccelerometerX,439,17.572690921506364
P02,lab_recorder_run1_P02.xdf,SCR_RIS,SCRRiseTime,22,14.866377866187577
P02,lab_recorder_run1_P02.xdf,MAG_Y,MagnetometerY,439,17.574999596055022
P02,lab_recorder_run1_P02.xdf,PPG_RED,PPGRed,437,17.52829966182253
P02,lab_recorder_run1_P02.xdf,THERM,Thermopile,133,17.566406021416697
P02,lab_recorder_run1_P02.xdf,MAG_Z,MagnetometerZ,439,17.574945749774997
P02,lab_recorder_run1_P02.xdf,ACC_Z,AccelerometerZ,439,17.57242137598041
P02,lab_recorder_run1_P02.xdf,GYRO_Y,GyroscopeY,439,17.577175188180263
P02,lab_recorder_run1_P02.xdf,SCR_AMP,SCRAmplitude,22,14.866374874659414
P02,lab_recorder_run1_P02.xdf,PPG_IR,PPGInfrared,437,17.53063107800881
P02,lab_recorder_run1_P02.xdf,EDA,EDA,264,17.495664399848465
P02,lab_recorder_run1_P02.xdf,DataSyncMarker,Markers,0,
P02,lab_recorder_run1_P02.xdf,TEMP1,Temperature,133,17.562798652346828
P02,lab_recorder_run1_P02.xdf,HR,HeartRate,22,17.33589057343761
P02,lab_recorder_run1_P02.xdf,SCR_FREQ,SCRFrequency,53,17.2369071574185
P03,labrecorder_P03.xdf,MAG_Y,MagnetometerY,0,
